date,word_count
2020-12-01,90
2020-12-02,64
2020-12-03,27
2020-12-04,47
2020-12-05,31
2020-12-06,27
2020-12-07,42
2020-12-08,78
2020-12-09,103
2020-12-10,35
2020-12-11,29
2020-12-12,14
2020-12-13,11
2020-12-14,37
2020-12-15,34
2020-12-16,22
2020-12-17,25
2020-12-18,20
2020-12-19,14
2020-12-20,3
2020-12-23,60
2020-12-24,76
2020-12-25,26
2020-12-26,32
2020-12-27,54
2020-12-28,107
2020-12-29,108
2020-12-30,95
2020-12-31,140
2021-01-01,63
2021-01-02,63
2021-01-03,35
2021-01-04,95
2021-01-05,79
2021-01-06,70
2021-01-07,39
2021-01-08,67
2021-01-09,45
2021-01-10,48
2021-01-11,135
2021-01-12,59
2021-01-13,670
2021-01-14,812
2021-01-15,944
2021-01-16,401
2021-01-17,256
2021-01-18,435
2021-01-19,759
2021-01-20,622
2021-01-21,675
2021-01-22,1767
2021-01-23,1084
2021-01-24,901
2021-01-25,3557
2021-01-26,2089
2021-01-27,10418
2021-01-28,28757
2021-01-29,17072
2021-01-30,9149
2021-01-31,8288
2021-02-01,13750
2021-02-02,15103
2021-02-03,5724
2021-02-04,4557
2021-02-08,773
2021-02-09,1004
2021-02-10,818
2021-02-11,703
2021-02-12,522
2021-02-13,322
2021-02-14,209
2021-02-15,201
2021-02-16,155
2021-02-17,143
2021-02-18,529
2021-02-19,412
2021-02-20,288
2021-02-21,235
2021-02-22,384
2021-02-23,362
2021-02-24,1107
2021-02-25,3357
2021-02-26,1748
2021-02-27,613
2021-02-28,184
2021-03-02,451
2021-03-03,961
2021-03-04,770
2021-03-05,214
2021-03-07,28
2021-03-08,640
2021-03-09,1323
2021-03-10,2417
2021-03-11,1264
2021-03-12,908
2021-03-13,436
2021-03-14,468
2021-03-15,629
2021-03-16,712
2021-03-17,378
2021-03-27,38
2021-03-28,158
2021-03-29,250
2021-03-30,258
2021-03-31,213
2021-04-01,239
2021-04-02,132
2021-04-03,99
2021-04-04,103
2021-04-05,210
2021-04-06,156
2021-04-07,166
2021-04-08,187
2021-04-09,219
2021-04-14,174
2021-04-15,202
2021-04-16,220
2021-04-17,152
2021-04-18,63
2021-04-19,164
2021-04-20,108
2021-04-21,96
2021-04-22,128
2021-04-23,92
2021-04-24,59
2021-04-25,39
2021-04-26,144
2021-04-27,168
2021-04-28,92
2021-04-29,97
2021-04-30,77
2021-05-01,48
2021-05-02,31
2021-05-03,72
2021-05-04,87
2021-05-05,110
2021-05-06,228
2021-05-07,85
2021-05-08,65
2021-05-09,49
2021-05-10,96
2021-05-11,91
2021-05-12,79
2021-05-13,117
2021-05-14,64
2021-05-15,40
2021-05-16,26
2021-05-17,68
2021-05-18,100
2021-05-19,64
2021-05-20,53
